Time, PeriodicInput_CalculatedValue_1, PeriodicInput_CalculatedValue_2,NoteToAddToFile,I like bread 
+19.14763, -0.44735, +2.10529
+19.18958, -0.56100, +2.08515
+19.23010, -0.66156, +1.67689
+19.27078, -0.75173, +1.49653
+19.31138, -0.82951, +1.34099
+19.35158, -0.89325, +1.21350
+19.39230, -0.94330, +1.26130
+19.43254, -0.97763, +1.04474
+19.47295, -0.99639, +1.00722
+19.51321, -0.99914, +1.00172
+19.55386, -0.98572, +1.02856
+19.59424, -0.95649, +1.12358
+19.63454, -0.91200, +1.17600
+19.67502, -0.85260, +1.29479
+19.71570, -0.77906, +1.44188
+19.75647, -0.69258, +1.61484
+19.79673, -0.59606, +2.03215
+19.83720, -0.48944, +2.02112
+19.87771, -0.37482, +2.25037
+19.91817, -0.25426, +2.49148
+19.95836, -0.13045, +2.73910
+19.99858, -0.00445, +3.14195
+20.03924, +0.12295, +3.24591
+20.07966, +0.24764, +3.49529
+20.12011, +0.36843, +3.73686
+20.16035, +0.48273, +3.96546
+20.20069, +0.58954, +4.56486
+20.24141, +0.68776, +4.37552
+20.28183, +0.77417, +4.54835
+20.32204, +0.84775, +4.69550
+20.36248, +0.90811, +4.81622
+20.40306, +0.95398, +4.97855
+20.44359, +0.98434, +4.96868
+20.48400, +0.99874, +4.99748
+20.52444, +0.99705, +4.99411
+20.56490, +0.97928, +4.95857
+20.60545, +0.94562, +5.38695
+20.64612, +0.89648, +4.79295
+20.68660, +0.83304, +4.66609
+20.72712, +0.75606, +4.51211
+20.76752, +0.66713, +4.33425
+20.80788, +0.56759, +4.61358
+20.84837, +0.45854, +3.91708
+20.88888, +0.34205, +3.68411
+20.92922, +0.22053, +3.44105
+20.96974, +0.09493, +3.18985
+21.01027, -0.03224, +3.10962
+21.05053, -0.15807, +2.68386
+21.09115, -0.28245, +2.43511
+21.13152, -0.40152, +2.19696
+21.17220, -0.51498, +1.97004
+21.21250, -0.61909, +1.89041
+21.25286, -0.71342, +1.57316
+21.29299, -0.79587, +1.40826
+21.33360, -0.86645, +1.26711
+21.37437, -0.92312, +1.15376
+21.41481, -0.96440, +1.51012
+21.45516, -0.99010, +1.01981
+21.49566, -0.99991, +1.00019
+21.53611, -0.99357, +1.01286
+21.57654, -0.97123, +1.05754
+21.61700, -0.93320, +1.36576
+21.65768, -0.87979, +1.24041
+21.69821, -0.81231, +1.37537
+21.73851, -0.73217, +1.53567
+21.77871, -0.64055, +1.71890
+21.81941, -0.53739, +1.74785
+21.86008, -0.42554, +2.14892
+21.90072, -0.30688, +2.38625
+21.94142, -0.18300, +2.63400
+21.98201, -0.05649, +2.88701
+22.02245, +0.07048, +3.44965
+22.06293, +0.19642, +3.39284
+22.10356, +0.31964, +3.63928
+22.14438, +0.43820, +3.87640
+22.18472, +0.54829, +4.09658
+22.22534, +0.65027, +4.54400
+22.26566, +0.74103, +4.48207
+22.30586, +0.81970, +4.63940
+22.34653, +0.88600, +4.77200
+22.38680, +0.93743, +4.87485
+22.42706, +0.97386, +4.48573
+22.46750, +0.99479, +4.98959
+22.50800, +0.99968, +4.99937
+22.54877, +0.98829, +4.97657
+22.58948, +0.96075, +4.92149
+22.63047, +0.91716, +4.57245
+22.67103, +0.85909, +4.71819
+22.71147, +0.78731, +4.57462
+22.75182, +0.70305, +4.40610
+22.79244, +0.60682, +4.21365
+22.83306, +0.50075, +4.30971
+22.87360, +0.38673, +3.77346
+22.91390, +0.26721, +3.53442
+22.95415, +0.14355, +3.28710
+22.99490, +0.01601, +3.03201
+23.03556, -0.11149, +3.12865
+23.07590, -0.23621, +2.52759
+23.11624, -0.35713, +2.28574
+23.15664, -0.47247, +2.05506
+23.19727, -0.58082, +1.83837
+23.23743, -0.67863, +1.63562
+23.27804, -0.76657, +1.46686
+23.31856, -0.84190, +1.31621
+23.35882, -0.90324, +1.19351
+23.39936, -0.95043, +1.09914
+23.43987, -0.98221, +1.46055
+23.48029, -0.99808, +1.00383
+23.52053, -0.99792, +1.00416
+23.56085, -0.98178, +1.03643
+23.60130, -0.94979, +1.10043
+23.64161, -0.90266, +0.80948
+23.68206, -0.84084, +1.31831
+23.72254, -0.76540, +1.46919
+23.76325, -0.67707, +1.64586
+23.80380, -0.57808, +1.84383
+23.84463, -0.46895, +1.63989
+23.88505, -0.35332, +2.29336
+23.92557, -0.23171, +2.53657
+23.96576, -0.10735, +2.78530
+24.00634, +0.01992, +3.03985
+24.04659, +0.14585, +3.35794
+24.08718, +0.27048, +3.54097
+24.12767, +0.39042, +3.78085
+24.16826, +0.50433, +4.00865
+24.20869, +0.60965, +4.21929
+24.24943, +0.70584, +4.29452
+24.29000, +0.79016, +4.58033
+24.33046, +0.86147, +4.72294
+24.37107, +0.91909, +4.83818
+24.41150, +0.96160, +4.92320
+24.45182, +0.98857, +4.84249
+24.49239, +0.99971, +4.99943
+24.53267, +0.99474, +4.98948
+24.57333, +0.97358, +4.94717
+24.61370, +0.93688, +4.87376
+24.65422, +0.88491, +5.10400
+24.69487, +0.81838, +4.63676
+24.73541, +0.73877, +4.47753
+24.77575, +0.64764, +4.29529
+24.81641, +0.54532, +4.09063
+24.85692, +0.43453, +3.89391
+24.89729, +0.31710, +3.63420
+24.93745, +0.19523, +3.39047
+24.97771, +0.06998, +3.13996
+25.01817, -0.05706, +2.88589
+25.05870, -0.18336, +2.55271
+25.09898, -0.30598, +2.38804
+25.13974, -0.42505, +2.14990
+25.18026, -0.53652, +1.92696
+25.22082, -0.63940, +1.72120
+25.26097, -0.73106, +1.52106
+25.30118, -0.81118, +1.37763
+25.34182, -0.87905, +1.24191
+25.38246, -0.93259, +1.13481
+25.42285, -0.97077, +1.05846
+25.46326, -0.99334, +1.43445
+25.50380, -0.99993, +1.00014
+25.54436, -0.99030, +1.01939
+25.58507, -0.96450, +1.07100
+25.62548, -0.92330, +1.15340
+25.66577, -0.86744, +1.25305
+25.70646, -0.79693, +1.40614
+25.74668, -0.71443, +1.57113
+25.78732, -0.61954, +1.76092
+25.82753, -0.51571, +1.96858
+25.86787, -0.40328, +1.94194
+25.90874, -0.28278, +2.43444
+25.94918, -0.15899, +2.68202
+25.98986, -0.03185, +2.93630
+26.03022, +0.09479, +3.18957
+26.07087, +0.22081, +3.66713
+26.11108, +0.34193, +3.68387
+26.15166, +0.45864, +3.91728
+26.19188, +0.56697, +4.13393
+26.23234, +0.66680, +4.33360
+26.27309, +0.75649, +4.49948
+26.31383, +0.83379, +4.66757
+26.35409, +0.89676, +4.79352
+26.39457, +0.94565, +4.89130
